item_id,stratum,language,metric_class,target_label,target_text,family,canary_guid,license
s2-001,S2,en,exact,S2 compositional seed 001,"S2-001 arithmetic card
row 1: n=6; n+step=9; n*step=18; glyph=blue
row 2: n=9; n+step=12; n*step=27; glyph=copper
row 3: n=12; n+step=15; n*step=36; glyph=jade
checksum: A-195",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-002,S2,en,exact,S2 compositional seed 002,"S2-002 letter lattice
A. Aster clicks the copper cipher at 24.
B. Beryl drifts the jade delta at 33.
C. Cato echoes the violet ember at 42.
D. Dessa folds the silver fable at 51.
checksum: L-108",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-003,S2,en,exact,S2 compositional seed 003,"S2-003 route receipt
leg 1: go west for 14; mark=Q5
leg 2: go north for 7; mark=T8
leg 3: go east for 13; mark=N4
leg 4: go south for 6; mark=V6
total: 40; parity: even; code: R-775",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-004,S2,en,exact,S2 compositional seed 004,"S2-004 arithmetic card
row 1: n=9; n+step=15; n*step=54; glyph=violet
row 2: n=15; n+step=21; n*step=90; glyph=silver
row 3: n=21; n+step=27; n*step=126; glyph=crimson
checksum: A-339",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-005,S2,en,exact,S2 compositional seed 005,"S2-005 letter lattice
A. Aster folds the silver fable at 45.
B. Beryl glows the crimson glyph at 54.
C. Cato halts the olive harbor at 63.
D. Dessa arcs the amber atom at 72.
checksum: L-270",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-006,S2,en,exact,S2 compositional seed 006,"S2-006 route receipt
leg 1: go south for 7; mark=V6
leg 2: go west for 3; mark=P9
leg 3: go north for 12; mark=R3
leg 4: go east for 8; mark=K7
total: 30; parity: even; code: R-600",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-007,S2,en,exact,S2 compositional seed 007,"S2-007 arithmetic card
row 1: n=12; n+step=16; n*step=48; glyph=olive
row 2: n=16; n+step=20; n*step=64; glyph=amber
row 3: n=20; n+step=24; n*step=80; glyph=blue
checksum: A-328",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-008,S2,en,exact,S2 compositional seed 008,"S2-008 letter lattice
A. Aster arcs the amber atom at 66.
B. Beryl bends the blue binary at 75.
C. Cato clicks the copper cipher at 84.
D. Dessa drifts the jade delta at 93.
checksum: L-344",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-009,S2,en,exact,S2 compositional seed 009,"S2-009 route receipt
leg 1: go east for 13; mark=K7
leg 2: go south for 12; mark=M2
leg 3: go west for 11; mark=Q5
leg 4: go north for 10; mark=T8
total: 46; parity: even; code: R-919",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-010,S2,en,exact,S2 compositional seed 010,"S2-010 arithmetic card
row 1: n=15; n+step=17; n*step=30; glyph=copper
row 2: n=17; n+step=19; n*step=34; glyph=jade
row 3: n=19; n+step=21; n*step=38; glyph=violet
checksum: A-317",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
