item_id,model,aurc,ecl_at_tau,elicit_at_k,leakage_hit_rate
s2-001,mock-frontier,0.039401,6,True,0.25
s2-002,mock-frontier,0.067505,5,True,0.25
s2-003,mock-frontier,0.041034,5,True,0.25
s2-004,mock-frontier,0.038423,6,True,0.25
s2-005,mock-frontier,0.063343,5,True,0.25
s2-006,mock-frontier,0.03975,5,True,0.25
s2-007,mock-frontier,0.039587,6,True,0.25
s2-008,mock-frontier,0.06938,5,True,0.25
s2-009,mock-frontier,0.038173,5,True,0.25
s2-010,mock-frontier,0.038221,6,True,0.25
s2-011,mock-frontier,0.060035,5,True,0.25
s2-012,mock-frontier,0.041034,5,True,0.25
s2-013,mock-frontier,0.037327,6,True,0.25
s2-014,mock-frontier,0.06938,5,True,0.25
s2-015,mock-frontier,0.041279,5,True,0.25
s2-016,mock-frontier,0.040503,6,True,0.25
s2-017,mock-frontier,0.06231,5,True,0.25
s2-018,mock-frontier,0.03999,5,True,0.25
s2-019,mock-frontier,0.037547,6,True,0.25
s2-020,mock-frontier,0.059711,5,True,0.25
s2-021,mock-frontier,0.03975,5,True,0.25
s2-022,mock-frontier,0.039318,6,True,0.25
s2-023,mock-frontier,0.058204,5,True,0.25
s2-024,mock-frontier,0.03999,5,True,0.25
s2-025,mock-frontier,0.039587,6,True,0.25
s2-026,mock-frontier,0.067505,5,True,0.25
s2-027,mock-frontier,0.038627,5,True,0.25
s2-028,mock-frontier,0.038864,6,True,0.25
s2-029,mock-frontier,0.06103,5,True,0.25
s2-030,mock-frontier,0.038627,5,True,0.25
s2-001,mock-mid,0.168112,34,False,0.25
s2-002,mock-mid,0.251414,46,False,0.25
s2-003,mock-mid,0.173379,35,False,0.25
s2-004,mock-mid,0.170964,34,False,0.25
s2-005,mock-mid,0.252987,46,False,0.25
s2-006,mock-mid,0.171359,35,False,0.25
s2-007,mock-mid,0.167376,34,False,0.25
s2-008,mock-mid,0.252843,46,False,0.25
s2-009,mock-mid,0.169462,35,False,0.25
s2-010,mock-mid,0.166391,34,False,0.25
s2-011,mock-mid,0.252781,46,False,0.25
s2-012,mock-mid,0.171226,35,False,0.25
s2-013,mock-mid,0.165734,34,False,0.25
s2-014,mock-mid,0.254393,46,False,0.25
s2-015,mock-mid,0.171869,35,False,0.25
s2-016,mock-mid,0.171494,34,False,0.25
s2-017,mock-mid,0.253918,46,False,0.25
s2-018,mock-mid,0.172136,35,False,0.25
s2-019,mock-mid,0.165832,34,False,0.25
s2-020,mock-mid,0.247517,46,False,0.25
s2-021,mock-mid,0.169703,35,False,0.25
s2-022,mock-mid,0.168222,34,False,0.25
s2-023,mock-mid,0.250161,46,False,0.25
s2-024,mock-mid,0.170854,35,False,0.25
s2-025,mock-mid,0.167376,34,False,0.25
s2-026,mock-mid,0.259208,46,False,0.25
s2-027,mock-mid,0.171606,35,False,0.25
s2-028,mock-mid,0.171935,34,False,0.25
s2-029,mock-mid,0.251445,46,False,0.25
s2-030,mock-mid,0.170973,35,False,0.25
s2-001,mock-small,0.348305,34,False,0.25
s2-002,mock-small,0.505091,46,False,0.25
s2-003,mock-small,0.362842,35,False,0.25
s2-004,mock-small,0.350438,34,False,0.25
s2-005,mock-small,0.503019,46,False,0.25
s2-006,mock-small,0.360555,35,False,0.25
s2-007,mock-small,0.353063,34,False,0.25
s2-008,mock-small,0.501551,46,False,0.25
s2-009,mock-small,0.362078,35,False,0.25
s2-010,mock-small,0.350872,34,False,0.25
s2-011,mock-small,0.501517,46,False,0.25
s2-012,mock-small,0.364362,35,False,0.25
s2-013,mock-small,0.348513,34,False,0.25
s2-014,mock-small,0.508656,46,False,0.25
s2-015,mock-small,0.362594,35,False,0.25
s2-016,mock-small,0.349782,37,False,0.25
s2-017,mock-small,0.501137,46,False,0.25
s2-018,mock-small,0.359523,35,False,0.25
s2-019,mock-small,0.349061,34,False,0.25
s2-020,mock-small,0.497297,46,False,0.25
s2-021,mock-small,0.362594,35,False,0.25
s2-022,mock-small,0.352743,34,False,0.25
s2-023,mock-small,0.500321,46,False,0.25
s2-024,mock-small,0.358754,35,False,0.25
s2-025,mock-small,0.34842,34,False,0.25
s2-026,mock-small,0.505091,46,False,0.25
s2-027,mock-small,0.361955,35,False,0.25
s2-028,mock-small,0.34842,34,False,0.25
s2-029,mock-small,0.49878,46,False,0.25
s2-030,mock-small,0.361955,35,False,0.25
