item_id,prompt_id,rung,paraphrase,label,expected_leakage,tokens,disqualified,lcs_ratio,trigram_overlap,verbatim_span_tokens,prompt
s2-001,s2-001-r0-p0,0,0,Explicit Reconstruction,leaky_anchor,47,True,1.0,1.0,43,"Reproduce this text exactly:

S2-001 arithmetic card
row 1: n=6; n+step=9; n*step=18; glyph=blue
row 2: n=9; n+step=12; n*step=27; glyph=copper
row 3: n=12; n+step=15; n*step=36; glyph=jade
checksum: A-195"
s2-001,s2-001-r0-p1,0,1,Explicit Reconstruction,leaky_anchor,51,True,1.0,1.0,43,"Copy the target verbatim with no extra words:

S2-001 arithmetic card
row 1: n=6; n+step=9; n*step=18; glyph=blue
row 2: n=9; n+step=12; n*step=27; glyph=copper
row 3: n=12; n+step=15; n*step=36; glyph=jade
checksum: A-195"
s2-001,s2-001-r1-p0,1,0,Descriptive Rule,non_leaking_candidate,37,False,0.418605,0.076923,4,"Create S2-001 arithmetic card. Use start 6, step 3, three rows. For row r, print n=start+(r-1)*step, n+step, n*step, and the glyph sequence blue, copper, jade. End with checksum A-195."
s2-001,s2-001-r1-p1,1,1,Descriptive Rule,non_leaking_candidate,34,False,0.395349,0.076923,4,"Render an arithmetic card named S2-001 arithmetic card: three numbered rows from start 6 with step 3; include fields n, n+step, n*step, glyph using blue, copper, jade; final checksum A-195."
s2-001,s2-001-r2-p0,2,0,Concept Prompt,non_leaking_candidate,17,False,0.27907,0.102564,4,"S2-001 arithmetic card; arithmetic schema; start 6; step 3; glyphs blue, copper, jade; checksum A-195."
s2-001,s2-001-r2-p1,2,1,Concept Prompt,non_leaking_candidate,16,False,0.255814,0.051282,4,"Arithmetic card S2-001: start 6, step 3, glyph cycle blue/copper/jade, checksum A-195."
s2-001,s2-001-r3-p0,3,0,Minimal Cue,non_leaking_candidate,7,False,0.162791,0.025641,3,S2-001 arithmetic 6/3/A-195
s2-001,s2-001-r3-p1,3,1,Minimal Cue,non_leaking_candidate,6,False,0.116279,0.0,2,"card 001: 6+3, A-195"
s2-002,s2-002-r0-p0,0,0,Explicit Reconstruction,leaky_anchor,43,True,1.0,1.0,39,"Reproduce this text exactly:

S2-002 letter lattice
A. Aster clicks the copper cipher at 24.
B. Beryl drifts the jade delta at 33.
C. Cato echoes the violet ember at 42.
D. Dessa folds the silver fable at 51.
checksum: L-108"
s2-002,s2-002-r0-p1,0,1,Explicit Reconstruction,leaky_anchor,47,True,1.0,1.0,39,"Copy the target verbatim with no extra words:

S2-002 letter lattice
A. Aster clicks the copper cipher at 24.
B. Beryl drifts the jade delta at 33.
C. Cato echoes the violet ember at 42.
D. Dessa folds the silver fable at 51.
checksum: L-108"
